"lat","long","radius","search.twitter.entry","number.of.tweets"
29.2673297916136,-92.8033123554773,"100mi","29.2673297916136,-92.8033123554773,100mi",1000
49.375266111607,-103.686795992957,"100mi","49.375266111607,-103.686795992957,100mi",5
42.9170786557667,-75.0032606606609,"100mi","42.9170786557667,-75.0032606606609,100mi",581
38.8890982850758,-118.153373637777,"100mi","38.8890982850758,-118.153373637777,100mi",189
28.4404035554347,-108.984453189309,"100mi","28.4404035554347,-108.984453189309,100mi",38
40.3344840771542,-100.35709482286,"100mi","40.3344840771542,-100.35709482286,100mi",34
47.7094218139343,-91.3091579408201,"100mi","47.7094218139343,-91.3091579408201,100mi",228
43.4067625691672,-81.507282193021,"100mi","43.4067625691672,-81.507282193021,100mi",415
30.9165924884296,-93.2515870981626,"100mi","30.9165924884296,-93.2515870981626,100mi",497
41.4366322666819,-75.0645983127477,"100mi","41.4366322666819,-75.0645983127477,100mi",1000
48.8226593578699,-109.615356756313,"100mi","48.8226593578699,-109.615356756313,100mi",3
29.7124434812239,-111.251115196869,"100mi","29.7124434812239,-111.251115196869,100mi",14
31.1610151006977,-67.6806342144839,"100mi","31.1610151006977,-67.6806342144839,100mi",0
26.058804907362,-80.4039487958491,"100mi","26.058804907362,-80.4039487958491,100mi",847
46.4514146285105,-100.196305566652,"100mi","46.4514146285105,-100.196305566652,100mi",23
33.1754456405182,-100.905715182669,"100mi","33.1754456405182,-100.905715182669,100mi",313
27.9201670274301,-120.585858865684,"100mi","27.9201670274301,-120.585858865684,100mi",0
45.1948296345809,-121.782445591192,"100mi","45.1948296345809,-121.782445591192,100mi",597
37.5656225284119,-105.499346725611,"100mi","37.5656225284119,-105.499346725611,100mi",126
29.0392647330754,-105.931312077799,"100mi","29.0392647330754,-105.931312077799,100mi",38
42.7938847868277,-120.906418608773,"100mi","42.7938847868277,-120.906418608773,100mi",37
48.9218319166133,-121.576951998558,"100mi","48.9218319166133,-121.576951998558,100mi",1000
41.3590992160803,-115.430306321525,"100mi","41.3590992160803,-115.430306321525,100mi",7
35.7247364588655,-73.1343991634035,"100mi","35.7247364588655,-73.1343991634035,100mi",0
29.1826442686013,-80.2927026536675,"100mi","29.1826442686013,-80.2927026536675,100mi",1000
25.0030959093453,-118.683898975845,"100mi","25.0030959093453,-118.683898975845,100mi",0
29.0189181859385,-119.425988022217,"100mi","29.0189181859385,-119.425988022217,100mi",0
27.2660381145535,-122.460921881073,"100mi","27.2660381145535,-122.460921881073,100mi",0
27.5975461094347,-79.5326254618897,"100mi","27.5975461094347,-79.5326254618897,100mi",771
44.1569977241598,-107.684102337705,"100mi","44.1569977241598,-107.684102337705,100mi",55
28.9416092579452,-117.812652153179,"100mi","28.9416092579452,-117.812652153179,100mi",0
48.207704603449,-72.2819739574151,"100mi","48.207704603449,-72.2819739574151,100mi",3
32.2330141485728,-78.7482872615089,"100mi","32.2330141485728,-78.7482872615089,100mi",183
25.698007606183,-108.830843805591,"100mi","25.698007606183,-108.830843805591,100mi",125
34.9502696551901,-104.501413197908,"100mi","34.9502696551901,-104.501413197908,100mi",176
29.0470144457869,-90.2625486333702,"100mi","29.0470144457869,-90.2625486333702,100mi",225
29.9661414308622,-73.3901692994901,"100mi","29.9661414308622,-73.3901692994901,100mi",0
48.8929367061165,-105.993964238838,"100mi","48.8929367061165,-105.993964238838,100mi",2
43.5619513745954,-89.251075943296,"100mi","43.5619513745954,-89.251075943296,100mi",794
33.882743362985,-80.9487513403403,"100mi","33.882743362985,-80.9487513403403,100mi",1000
27.5605074794465,-104.527303801534,"100mi","27.5605074794465,-104.527303801534,100mi",36
27.2147003344167,-116.852863763228,"100mi","27.2147003344167,-116.852863763228,100mi",0
25.0304759464967,-113.031697097635,"100mi","25.0304759464967,-113.031697097635,100mi",3
44.2753284228126,-95.4417593923055,"100mi","44.2753284228126,-95.4417593923055,100mi",48
39.6545099431343,-85.298298027614,"100mi","39.6545099431343,-85.298298027614,100mi",1000
31.7631674027158,-103.699012829766,"100mi","31.7631674027158,-103.699012829766,100mi",126
37.6455002614861,-67.202235494419,"100mi","37.6455002614861,-67.202235494419,100mi",0
25.5249884595614,-107.69514716734,"100mi","25.5249884595614,-107.69514716734,100mi",122
29.9120759450377,-98.6243754649607,"100mi","29.9120759450377,-98.6243754649607,100mi",1000
31.7912190993254,-71.2653290258904,"100mi","31.7912190993254,-71.2653290258904,100mi",0
26.4060704228492,-92.4041088376664,"100mi","26.4060704228492,-92.4041088376664,100mi",0
25.7316829512814,-68.038377948271,"100mi","25.7316829512814,-68.038377948271,100mi",0
37.906187399183,-109.452529409847,"100mi","37.906187399183,-109.452529409847,100mi",25
26.7311030917174,-123.275556643125,"100mi","26.7311030917174,-123.275556643125,100mi",0
42.8531759757731,-116.728245742203,"100mi","42.8531759757731,-116.728245742203,100mi",93
39.8396609162194,-71.7759157389063,"100mi","39.8396609162194,-71.7759157389063,100mi",242
31.2227083556322,-113.035233985871,"100mi","31.2227083556322,-113.035233985871,100mi",10
31.9228590113399,-123.356394019629,"100mi","31.9228590113399,-123.356394019629,100mi",0
31.2447275077311,-79.5221239606479,"100mi","31.2447275077311,-79.5221239606479,100mi",74
32.3663306370483,-71.652879606021,"100mi","32.3663306370483,-71.652879606021,100mi",1
35.8237579090369,-122.705660318353,"100mi","35.8237579090369,-122.705660318353,100mi",145
41.6995054591401,-79.1659353017412,"100mi","41.6995054591401,-79.1659353017412,100mi",1000
37.0406514277255,-81.5216302467216,"100mi","37.0406514277255,-81.5216302467216,100mi",308
